posted,neighborhood,post title,number bedrooms,sqft,URL,price
2022-01-09 19:52, ( north shore ),For rent,3,,https://boston.craigslist.org/nos/apa/d/lynn-for-rent/7430816647.html,2500
2022-01-09 19:49, (Lynn north shore ),$1550/1 Bdrm - 900 sq. ft.- Ocean View Luxury One Bedroom (Lynn),1,900.0,https://boston.craigslist.org/nos/apa/d/lynn-bdrm-sq-ft-ocean-view-luxury-one/7430816004.html,1550
2022-01-09 19:41, (Brighton boston/cambridge/brookline ),"Modern 2-bedroom first floor apartment at Harriet Street, Brighton",2,1078.0,https://boston.craigslist.org/gbs/apa/d/brighton-modern-bedroom-first-floor/7430813687.html,2450
2022-01-09 18:37, (Brighton boston/cambridge/brookline ),Spacious apartment in Brighton/ $1150 (utilities included),2,,https://boston.craigslist.org/gbs/apa/d/brighton-spacious-apartment-in-brighton/7430793341.html,1050
2022-01-09 15:43," (Salem, MA north shore )",Sunny 2 bed 2 Full Bath + Office,3,1410.0,https://boston.craigslist.org/nos/apa/d/salem-sunny-bed-full-bath-office/7430725737.html,2650
2022-01-09 15:39, (Lowell/Dracut line northwest/merrimack ),Skyline Estates,2,900.0,https://boston.craigslist.org/nwb/apa/d/lowell-skyline-estates/7430723792.html,1500
2022-01-09 15:36," (Franklin, MA metro west )",$1525 2br - Apt. in Franklin-Fantastic Location!,2,,https://boston.craigslist.org/bmw/apa/d/franklin-br-apt-in-franklin-fantastic/7430722390.html,1525
2022-01-09 15:13," (Somerville, MA boston/cambridge/brookline )",Great 1-Bed Exposed Bricks Porter Square PET FRIENDLY!,1,,https://boston.craigslist.org/gbs/apa/d/somerville-great-bed-exposed-bricks/7430712168.html,2000
2022-01-09 14:31," (Cambridge, MA boston/cambridge/brookline )",Two FURNISHED 1 bedroom apartments in Cambridge,1,890.0,https://boston.craigslist.org/gbs/apa/d/cambridge-two-furnished-bedroom/7430650345.html,1050
2022-01-09 13:53, (SOMERVILLE boston/cambridge/brookline ),ROOM IN A 3 BED HOUSE/UNION/ SULLIVAN/ORANGE LINE..PETS OK,1,,https://boston.craigslist.org/gbs/apa/d/somerville-room-in-3-bed-house-union/7430674591.html,900
2022-01-09 13:45, (SOMERVILLE boston/cambridge/brookline ),ROOM IN A 3 BEDROOM HOUSE/INMAN/UNION SQ./PARKING/WHOLE FOODS,1,,https://boston.craigslist.org/gbs/apa/d/lynn-room-in-3-bedroom-house-inman/7430670756.html,1000
2022-01-09 13:44, (SOMERVILLE// CAMBRIDGE LINE boston/cambridge/brookline ),ROOM IN A  4 BED 2 BATH TOWNHOUSE..INMAN/UNION SQ/ PARKING !!,4,,https://boston.craigslist.org/gbs/apa/d/somerville-room-in-4-bed-bath/7430670420.html,1075
2022-01-09 13:34, (Malden Square boston/cambridge/brookline ),Short walk to shoppes and train !,1,,https://boston.craigslist.org/gbs/apa/d/malden-short-walk-to-shoppes-and-train/7430665990.html,1750
2022-01-09 13:24, (Danvers north shore ),1 Bedroom Danvers  (Maple St),1,,https://boston.craigslist.org/nos/apa/d/danvers-bedroom-danvers-maple-st/7430661168.html,1590
2022-01-09 13:16, (Randolph south shore ),Great one bedroom one bathroom apartment HEAT INCLUDED!,1,,https://boston.craigslist.org/sob/apa/d/randolph-great-one-bedroom-one-bathroom/7430657610.html,1650
